author,isbn,pages,title
James Patterson,9.78E+12,413 pages,The Angel Experiment
Emma Donoghue,9.78E+12,321 pages,Room
Arthur Miller,9.78E+12,117 pages,Death of a Salesman
J.R.R. Tolkien|Bernd Lau,9.78E+12,1216 pages,The Lord of the Rings
Philip Pullman,9.78E+12,326 pages,The Subtle Knife
Kurt Vonnegut,9.78E+12,303 pages,Breakfast of Champions
Brandon Sanderson,9.78E+12,541 pages,The Final Empire
Bret Easton Ellis,9.78E+12,399 pages,American Psycho
Lisa See,9.78E+12,269 pages,Snow Flower and the Secret Fan
John Berendt,9.78E+12,386 pages,Midnight in the Garden of Good and Evil
Johann Wolfgang von Goethe|Peter Salm,9.78E+12,327 pages,Faust: First Part
Annie Proulx,9.78E+12,337 pages,The Shipping News
David Foster Wallace,9.78E+12,1088 pages,Infinite Jest
Niccolò Machiavelli|Rufus Goodwin|Benjamin Martinez,9.78E+12,140 pages,The Prince
Stephanie Perkins,9.78E+12,372 pages,Anna and the French Kiss
Ki Longfellow,9.78E+12,254 pages,Houdini Heart
Brandon Sanderson,9.78E+12,1007 pages,The Way of Kings
Laini Taylor,9.78E+12,422 pages,Daughter of Smoke & Bone
Emmuska Orczy,9.78E+12,204 pages,The Scarlet Pimpernel
Colleen Hoover,9.78E+12,410 pages,Hopeless
Chaim Potok,9.78E+12,304 pages,The Chosen
Nick Hornby,9.78E+12,340 pages,High Fidelity
V.C. Andrews,9.78E+12,389 pages,Flowers in the Attic
Cassandra Clare,9.78E+12,725 pages,City of Heavenly Fire
J.K. Rowling,9.78E+12,109 pages,The Tales of Beedle the Bard
Albert Camus|Stuart Gilbert,9.78E+12,308 pages,The Plague
Ally Condie,9.78E+12,369 pages,Matched
Jodi Picoult,9.78E+12,440 pages,Nineteen Minutes
Laura Hillenbrand,9.78E+12,473 pages,"Unbroken: A World War II Story of Survival, Resilience and Redemption"
Bernhard Schlink|Carol Brown Janeway,9.78E+12,216 pages,The Reader
Susanna Clarke,9.78E+12,1006 pages,Jonathan Strange & Mr Norrell
P.C. Cast|Kristin Cast,9.78E+12,310 pages,Betrayed
Jeffrey Eugenides,9.78E+12,250 pages,The Virgin Suicides
George R.R. Martin,9.78E+12,1061 pages,A Feast for Crows
Cormac McCarthy,9.78E+12,337 pages,"Blood Meridian, or the Evening Redness in the West"
Eoin Colfer,9.78E+12,316 pages,Artemis Fowl
Edith Wharton|Maureen Howard,9.78E+12,332 pages,The Age of Innocence
P.C. Cast|Kristin Cast,9.78E+12,338 pages,Untamed
J.K. Rowling|John Tiffany|Ien van Laanen|Yuko Matsuoka|Wiebe Buddingh'|Jack Thorne,9.78E+12,4100 pages,Harry Potter Series Box Set
John Steinbeck,9.78E+12,601 pages,East of Eden
Astrid Lindgren|Florence Lamborn|Louis S. Glanzman,9.78E+12,160 pages,Pippi Longstocking
William Gibson,9.78E+12,271 pages,Neuromancer
Andy Weir,9.78E+12,369 pages,The Martian
Francine Rivers,9.78E+12,464 pages,Redeeming Love
Robert Louis Stevenson|Vladimir Nabokov|Mervyn Peake|Dan Chaon,9.78E+12,144 pages,The Strange Case of Dr. Jekyll and Mr. Hyde
T.S. Eliot|Michael North,9.78E+12,320 pages,The Waste Land
Gregory David Roberts,9.78E+12,936 pages,Shantaram
Erik Larson|Tony Goldwyn,9.78E+12,447 pages,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
J.R. Ward,9.78E+12,448 pages,Lover Awakened
Jane Austen|Alfred MacAdam,9.78E+12,251 pages,Northanger Abbey
John Steinbeck,9.78E+12,96 pages,The Pearl
Rebecca Wells,9.78E+12,383 pages,Divine Secrets of the Ya-Ya Sisterhood
Dan Brown,9.78E+12,509 pages,The Lost Symbol
P.C. Cast|Kristin Cast,9.78E+12,307 pages,Chosen
Stephen King,9.78E+12,849 pages,11/22/1963
James Joyce|Jeri Johnson,9.78E+12,207 pages,Dubliners
Upton Sinclair|Earl Lee|Kathleen DeGrave,9.78E+12,335 pages,The Jungle
David Sedaris,9.78E+12,272 pages,Me Talk Pretty One Day
C.S. Lewis|Pauline Baynes,9.78E+12,248 pages,The Voyage of the Dawn Treader
Jonathan Safran Foer,9.78E+12,276 pages,Everything Is Illuminated
David Guterson,9.78E+12,460 pages,Snow Falling on Cedars
Virginia Woolf,9.78E+12,209 pages,To the Lighthouse
Stephenie Meyer,9.78E+12,1690 pages,The Twilight Collection
Robert Graves,9.78E+12,468 pages,"I, Claudius"
E.M. Forster,9.78E+12,119 pages,A Room with a View
Rick Riordan,9.78E+12,597 pages,The House of Hades
Maya Angelou,9.78E+12,246 pages,I Know Why the Caged Bird Sings
Isaac Asimov,9.78E+12,224 pages,"I, Robot"
Stephen King,9.78E+12,253 pages,Carrie
William Shakespeare|Rex Gibson|Richard Andrews,9.78E+12,289 pages,Hamlet
C.S. Lewis,9.78E+12,224 pages,The Last Battle
Richelle Mead,9.78E+12,421 pages,Bloodlines
Julie Kagawa,9.78E+12,363 pages,The Iron King
Charles Dickens|Nicola Bradbury|Hablot Knight Browne,9.78E+12,1017 pages,Bleak House
William Peter Blatty,9.78E+12,385 pages,The Exorcist
Kiera Cass,9.78E+12,323 pages,The One
Diana Gabaldon|Diana Gabaldon,9.78E+12,870 pages,Voyager
Lauren Kate,9.78E+12,452 pages,Torment
Evelyn Waugh,9.78E+12,351 pages,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder
William Makepeace Thackeray|John Carey,9.78E+12,912 pages,Vanity Fair
Richard Dawkins,9.78E+12,374 pages,The God Delusion
Plato|Desmond Lee,9.78E+12,416 pages,The Republic
Dalton Trumbo,9.78E+12,309 pages,Johnny Got His Gun
Cassandra Clare,9.78E+12,1520 pages,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass
Sarah J. Maas,9.78E+12,418 pages,Crown of Midnight
W. Somerset Maugham|Benjamin DeMott|Maeve Binchy,9.78E+12,684 pages,Of Human Bondage
Neal Stephenson,9.78E+12,438 pages,Snow Crash
Greg Mortenson|David Oliver Relin,9.78E+12,349 pages,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time
Libba Bray,9.78E+12,403 pages,A Great and Terrible Beauty
Elizabeth Gaskell|Alan Shelston,9.78E+12,521 pages,North and South
Anne Rice,9.78E+12,1207 pages,The Witching Hour
Sylvia Day,9.78E+12,334 pages,Bared to You
Simone Elkeles,9.78E+12,368 pages,Perfect Chemistry
Jeaniene Frost,9.78E+12,358 pages,Halfway to the Grave
Terry Goodkind,9.78E+12,836 pages,Wizard's First Rule
Stephenie Meyer,9.78E+12,620 pages,The Host
Alan Paton,9.78E+12,316 pages,"Cry, the Beloved Country"
Joanne Harris,9.78E+12,306 pages,Chocolat
Max Brooks,9.78E+12,342 pages,World War Z: An Oral History of the Zombie War
Rick Yancey,9.78E+12,457 pages,The 5th Wave
Kelley Armstrong,9.78E+12,390 pages,The Summoning
P.D. Eastman|Merwin Goldsmith|MARIAN HAILEY|Ron Marshall|Brendon Parry|Jim Thurman|Ray Messecar|Chris Campbell|Ron Nicodemus|Sharon Lerner|Phil Eastman,9.78E+12,64 pages,Are You My Mother?
John Steinbeck,9.78E+12,181 pages,Cannery Row
Wilkie Collins|Matthew Sweet,9.78E+12,672 pages,The Woman in White
H.G. Wells|Arthur C. Clarke,9.78E+12,192 pages,The War of the Worlds
Max Lucado,9.78E+12,32 pages,"You Are Special (Wemmicksville, #1)"
Chris Van Allsburg|Liam Neeson,9.78E+12,32 pages,The Polar Express
Daniel Quinn,9.78E+12,266 pages,Ishmael: An Adventure of the Mind and Spirit
Sarah Dessen,9.78E+12,371 pages,Just Listen
William Shakespeare|Barbara A. Mowat|Paul Werstine|Gail Kern Paster|Robert          Jackson,9.78E+12,246 pages,Much Ado About Nothing
Sherrilyn Kenyon,9.78E+12,728 pages,Acheron
Becca Fitzpatrick,9.78E+12,448 pages,Silence
Neal Shusterman,9.78E+12,335 pages,Unwind
Tatiana de Rosnay,9.78E+12,294 pages,Sarah's Key
Tennessee Williams,9.78E+12,104 pages,The Glass Menagerie
Charlaine Harris,9.78E+12,291 pages,Dead to the World
D.H. Lawrence,9.78E+12,376 pages,Lady Chatterley's Lover
Hermann Hesse,9.78E+12,194 pages,Demian. Die Geschichte von Emil Sinclairs Jugend
Sarah Dessen,9.78E+12,374 pages,The Truth About Forever
P.C. Cast|Kristin Cast,9.78E+12,323 pages,Hunted
Pittacus Lore,9.78E+12,440 pages,I Am Number Four
Jon Krakauer,9.78E+12,368 pages,Into Thin Air: A Personal Account of the Mount Everest Disaster
Leo Tolstoy|Henry Gifford|Aylmer Maude|Louise Maude,9.78E+12,1392 pages,War and Peace
J.D. Salinger,9.78E+12,198 pages,Nine Stories
Randy Pausch|Jeffrey Zaslow,9.78E+12,206 pages,The Last Lecture
Anonymous|Richard Francis Burton|A.S. Byatt,9.78E+12,1049 pages,The Arabian Nights
Paullina Simons,9.78E+12,637 pages,The Bronze Horseman
Martin Heidegger,9.78E+12,589 pages,Being and Time
Dodie Smith,9.78E+12,343 pages,I Capture the Castle
William Shakespeare,9.78E+12,220 pages,Twelfth Night
Neil Gaiman,9.78E+12,162 pages,Coraline
Michael Cunningham,9.78E+12,230 pages,The Hours
Sarah J. Maas,9.78E+12,565 pages,Heir of Fire
Marcel Proust|Simon Vance|Lydia Davis,9.78E+12,468 pages,Swann's Way
Stephen King,9.78E+12,576 pages,Pet Sematary
Deborah Harkness,9.78E+12,579 pages,A Discovery of Witches
Thomas Hardy|Rosemarie Morgan|Shannon Russell,9.78E+12,433 pages,Far From the Madding Crowd
Melissa Marr,9.78E+12,328 pages,Wicked Lovely
Barbara Kingsolver,9.78E+12,232 pages,The Bean Trees
Kiera Cass,9.78E+12,336 pages,The Elite
Jhumpa Lahiri,9.78E+12,198 pages,Interpreter of Maladies
Laura Ingalls Wilder|Garth Williams,9.78E+12,335 pages,Little House on the Prairie
Anthony Doerr,9.78E+12,531 pages,All the Light We Cannot See
Cecelia Ahern,9.78E+12,470 pages,P.S. I Love You
C.S. Lewis,9.78E+12,224 pages,The Horse and His Boy
William Shakespeare|Robert          Jackson|Barbara A. Mowat|Paul Werstine,9.78E+12,237 pages,The Merchant of Venice
Rick Riordan,9.78E+12,516 pages,The Red Pyramid
Edmond Rostand|Eteel Lawson|Lowell Bair,9.78E+12,240 pages,Cyrano de Bergerac
Arthur C. Clarke,9.78E+12,297 pages,2001: A Space Odyssey
John Steinbeck,9.78E+12,479 pages,The Grapes of Wrath
Diana Gabaldon,9.78E+12,880 pages,Drums of Autumn
Laura Ingalls Wilder|Garth Williams,9.78E+12,198 pages,Little House in the Big Woods
Ken Follett,9.78E+12,1014 pages,World Without End
Garth Nix,9.78E+12,491 pages,Sabriel
Alexandra Bracken,9.78E+12,488 pages,The Darkest Minds
Peter S. Beagle,9.78E+12,294 pages,The Last Unicorn
Sarah J. Maas,9.78E+12,416 pages,A Court of Thorns and Roses
Abraham Verghese,9.78E+12,541 pages,Cutting for Stone
Shannon Hale,9.78E+12,383 pages,The Goose Girl
Robert Penn Warren,9.78E+12,439 pages,All the King's Men
William Shakespeare|Roma Gill|فرنگیس شادمان,9.78E+12,128 pages,Julius Caesar
Leif Enger,9.78E+12,312 pages,Peace Like a River
Orson Scott Card|John Bruce Harris,9.78E+12,382 pages,Speaker for the Dead
Cassandra Clare,9.78E+12,541 pages,City of Glass
Edith Hamilton|Steele Savage,9.78E+12,497 pages,Mythology: Timeless Tales of Gods and Heroes
J.R. Ward,9.78E+12,441 pages,Lover Eternal
Lauren Oliver,9.78E+12,544 pages,Before I Fall
Jasper Fforde,9.78E+12,374 pages,The Eyre Affair
Karen Marie Moning,9.78E+12,608 pages,Shadowfever
Lionel Shriver,9.78E+12,400 pages,We Need to Talk About Kevin
W. Bruce Cameron,9.78E+12,319 pages,A Dog's Purpose
L.M. Montgomery,9.78E+12,304 pages,Anne of Avonlea
Tim LaHaye|Jerry B. Jenkins,9.78E+12,342 pages,Left Behind
Ellen Raskin,9.78E+12,182 pages,The Westing Game
Laura Hillenbrand,9.78E+12,457 pages,Seabiscuit: An American Legend
Kim Edwards,9.78E+12,401 pages,The Memory Keeper's Daughter
Dan Simmons,9.78E+12,482 pages,Hyperion
Maria V. Snyder,9.78E+12,409 pages,Poison Study
Cormac McCarthy,9.78E+12,309 pages,No Country for Old Men
Stephen King|Peter Straub,9.78E+12,1106 pages,The Talisman
Rhonda Byrne,9.78E+12,199 pages,The Secret
Anne Rice,9.78E+12,448 pages,The Queen of the Damned
Michael  Grant,9.78E+12,560 pages,Gone
Richard Matheson,9.78E+12,317 pages,I Am Legend and Other Stories
C.S. Lewis|Pauline Baynes,9.78E+12,243 pages,The Silver Chair
A.S. Byatt,9.78E+12,555 pages,Possession
Richard Wright,9.78E+12,504 pages,Native Son
Karen Marie Moning,9.78E+12,309 pages,Darkfever
Sun Tzu|Thomas Cleary|نادر سعیدی,9.78E+12,273 pages,The Art of War
Nicole Krauss,9.78E+12,255 pages,The History of Love
Dan Brown,9.78E+12,736 pages,Angels & Demons
Gayle Forman,9.78E+12,264 pages,Where She Went
Tom Stoppard|Henry Popkin,9.78E+12,126 pages,Rosencrantz and Guildenstern Are Dead
Scott Westerfeld,9.78E+12,370 pages,Pretties
David McCullough,9.78E+12,751 pages,John Adams
Sophocles|J.E. Thomas,9.78E+12,75 pages,Oedipus Rex
Andre Dubus III,9.78E+12,384 pages,House of Sand and Fog
Umberto Eco|William Weaver,9.78E+12,623 pages,Foucault's Pendulum
Patrick Ness,9.78E+12,479 pages,The Knife of Never Letting Go
Michael Shaara,9.78E+12,345 pages,The Killer Angels
Christopher Paolini,9.78E+12,849 pages,Inheritance
P.C. Cast|Kristin Cast,9.78E+12,319 pages,Tempted
Charlotte Perkins Gilman,9.78E+12,70 pages,The Yellow Wallpaper and Other Stories
Benjamin Alire Sáenz,9.78E+12,359 pages,Aristotle and Dante Discover the Secrets of the Universe
Margaret Atwood,9.78E+12,637 pages,The Blind Assassin
C.S. Lewis,9.78E+12,240 pages,Prince Caspian
Janet Evanovich,9.78E+12,320 pages,One for the Money
Leigh Bardugo,9.78E+12,465 pages,Six of Crows
Howard Zinn,9.78E+12,729 pages,A People's History of the United States
J.R. Ward,9.78E+12,502 pages,Lover Unbound
Marie Lu,9.78E+12,369 pages,Champion
Jane Austen|James Kinsley|Deidre Shauna Lynch,9.78E+12,249 pages,Persuasion
James Dashner,9.78E+12,362 pages,The Scorch Trials
Robert Ludlum,9.78E+12,566 pages,The Bourne Identity
Lemony Snicket|Brett Helquist,9.78E+12,176 pages,The Bad Beginning
Clement C. Moore|Jan Brett,9.78E+12,32 pages,The Night Before Christmas
Tamora Pierce,9.78E+12,274 pages,Alanna: The First Adventure
Thomas Pynchon,9.78E+12,776 pages,Gravity's Rainbow
Dave Eggers,9.78E+12,485 pages,A Heartbreaking Work of Staggering Genius
Diana Gabaldon,9.78E+12,980 pages,A Breath of Snow and Ashes
Maggie Stiefvater,9.78E+12,409 pages,The Raven Boys
Aleksandr Solzhenitsyn|H.T. Willetts,9.78E+12,182 pages,One Day in the Life of Ivan Denisovich
Ursula K. Le Guin,9.78E+12,183 pages,A Wizard of Earthsea
John Fowles,9.78E+12,656 pages,The Magus
Tom Robbins,9.78E+12,342 pages,Jitterbug Perfume
Barbara Kingsolver,9.78E+12,444 pages,Prodigal Summer
Ursula K. Le Guin,9.78E+12,304 pages,The Left Hand of Darkness
Shirley Jackson|Laura   Miller,9.78E+12,182 pages,The Haunting of Hill House
Louis de-Bernières,9.78E+12,437 pages,Corelli's Mandolin
Margaret Atwood,9.78E+12,400 pages,Oryx and Crake
Nicholas Sparks,9.78E+12,342 pages,Message in a Bottle
Stephen Hawking,9.78E+12,212 pages,A Brief History of Time
Erich Segal,9.78E+12,224 pages,Love Story
Alexander McCall Smith,9.78E+12,235 pages,The No. 1 Ladies' Detective Agency
J.R.R. Tolkien,9.78E+12,490 pages,The Return of the King
Henri Charrière,9.78E+12,544 pages,Papillon
Diana Gabaldon,9.78E+12,1443 pages,The Fiery Cross
Terry Pratchett,9.78E+12,480 pages,Night Watch
Rachel Caine,9.78E+12,239 pages,Glass Houses
Jennifer Niven,9.78E+12,378 pages,All the Bright Places
Anonymous|Joseph Smith Jr.,9.78E+12,531 pages,The Book of Mormon: Another Testament of Jesus Christ
Rosamunde Pilcher,9.78E+12,530 pages,The Shell Seekers
J.A. Redmerski,9.78E+12,426 pages,The Edge of Never
Marie Lu,9.78E+12,371 pages,Prodigy
Paulo Coelho|Margaret Jull Costa,9.78E+12,210 pages,Veronika Decides to Die
Sophie Kinsella,9.78E+12,368 pages,Confessions of a Shopaholic
Raymond Chandler,9.78E+12,231 pages,The Big Sleep
Haruki Murakami|Jay Rubin|Philip Gabriel,9.78E+12,925 pages,1Q84
Michael Pollan,9.78E+12,450 pages,The Omnivore's Dilemma: A Natural History of Four Meals
Charles Dickens|Joe L. Wheeler,9.78E+12,104 pages,A Christmas Carol
Charlaine Harris,9.78E+12,274 pages,Club Dead
J.R. Ward,9.78E+12,455 pages,Lover Revealed
Dee Brown,9.78E+12,509 pages,Bury My Heart at Wounded Knee: An Indian History of the American West
Wallace Stegner,9.78E+12,569 pages,Angle of Repose
Ally Carter,9.78E+12,284 pages,"I'd Tell You I Love You, But Then I'd Have to Kill You"
Muriel Barbery|Alison Anderson,9.78E+12,325 pages,The Elegance of the Hedgehog
Walter Scott,9.78E+12,544 pages,Ivanhoe
Sarah J. Maas,9.78E+12,648 pages,Queen of Shadows
Marissa Meyer,9.78E+12,454 pages,Scarlet
Ayn Rand,9.78E+12,105 pages,Anthem
Virgil|Robert Fitzgerald,9.78E+12,442 pages,The Aeneid
J.R. Ward,9.78E+12,527 pages,Lover Avenged
Thomas Hardy,9.78E+12,310 pages,Jude the Obscure
Maggie Stiefvater,9.78E+12,360 pages,Linger
Rudyard Kipling|Alev Lytle Croutier,9.78E+12,368 pages,The Jungle Books
Chaim Potok,9.78E+12,369 pages,My Name Is Asher Lev
Charlaine Harris,9.78E+12,291 pages,Living Dead in Dallas
Dean Koontz,9.78E+12,446 pages,Odd Thomas
Carl Sagan,9.78E+12,384 pages,Cosmos
Kurt Vonnegut,9.78E+12,224 pages,The Sirens of Titan
Caleb Carr,9.78E+12,498 pages,The Alienist
Dan Brown,9.78E+12,461 pages,Inferno
E.L. Konigsburg,9.78E+12,178 pages,From the Mixed-Up Files of Mrs. Basil E. Frankweiler
Orson Scott Card,9.78E+12,469 pages,Ender's Shadow
Robin Hobb,9.78E+12,460 pages,Assassin's Apprentice
Steven D. Levitt|Stephen J. Dubner,9.78E+12,320 pages,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
David Nicholls,9.78E+12,435 pages,One Day
Joseph Campbell|Bill Moyers,9.78E+12,320 pages,The Power of Myth
Anne Morrow Lindbergh,9.78E+12,130 pages,Gift from the Sea
Helen Keller,9.78E+12,240 pages,The Story of My Life
Toni Morrison,9.78E+12,337 pages,Song of Solomon
Jonathan Franzen,9.78E+12,653 pages,The Corrections
Stephen King,9.78E+12,1074 pages,Under the Dome
Toni Morrison,9.78E+12,216 pages,The Bluest Eye
Henry James|Patricia Crick,9.78E+12,797 pages,The Portrait of a Lady
Elie Wiesel|Marion Wiesel|François Mauriac,9.78E+12,120 pages,Night
Neal Stephenson,9.78E+12,1139 pages,Cryptonomicon
Sharon Creech,9.78E+12,280 pages,Walk Two Moons
Dr. Seuss,9.78E+12,64 pages,"One Fish, Two Fish, Red Fish, Blue Fish"
Shannon Hale,9.78E+12,314 pages,Princess Academy
Kate DiCamillo,9.78E+12,182 pages,Because of Winn-Dixie
Jhumpa Lahiri,9.78E+12,291 pages,The Namesake
Dan Brown,9.78E+12,510 pages,Digital Fortress
Thomas Mann|John E. Woods,9.78E+12,706 pages,The Magic Mountain
Patrick Ness|Jim Kay|Siobhan Dowd,9.78E+12,226 pages,A Monster Calls
Becca Fitzpatrick,9.78E+12,464 pages,Finale
Walter M. Miller Jr.,9.78E+12,335 pages,A Canticle for Leibowitz
P.L. Travers|Mary Shepard,9.78E+12,209 pages,Mary Poppins
John Green,9.78E+12,229 pages,An Abundance of Katherines
Ann Brashares,9.78E+12,294 pages,The Sisterhood of the Traveling Pants
E.M. Forster,9.78E+12,246 pages,Howards End
Koushun Takami|Yuji Oniki,9.78E+12,617 pages,Battle Royale
Karen Marie Moning,9.78E+12,386 pages,Dreamfever
Allen Ginsberg|William Carlos Williams,9.78E+12,56 pages,Howl and Other Poems
Cassandra Clare,9.78E+12,453 pages,City of Ashes
Kristin Cashore,9.78E+12,480 pages,Fire
Markus Zusak,9.78E+12,360 pages,I Am the Messenger
Ray Bradbury,9.78E+12,293 pages,Something Wicked This Way Comes
Sylvia Day,9.78E+12,338 pages,Reflected in You
Ned Vizzini,9.78E+12,444 pages,It's Kind of a Funny Story
Robert A. Heinlein,9.78E+12,335 pages,Starship Troopers
Olive Ann Burns,9.78E+12,391 pages,Cold Sassy Tree
Jorge Luis Borges|Andrew Hurley,9.78E+12,565 pages,Collected Fictions
Robert A. Heinlein,9.78E+12,288 pages,The Moon is a Harsh Mistress
Kerstin Gier|Anthea Bell,9.78E+12,324 pages,Ruby Red
Ellen Hopkins,9.78E+12,537 pages,Crank
James Dashner,9.78E+12,325 pages,The Death Cure
Kelley Armstrong,9.78E+12,360 pages,The Awakening
Sylvain Reynard,9.78E+12,506 pages,Gabriel's Inferno
Tahereh Mafi,9.78E+12,461 pages,Unravel Me
Kelley Armstrong,9.78E+12,391 pages,The Reckoning
Jamie McGuire,9.78E+12,448 pages,Walking Disaster
Marissa Meyer,9.78E+12,552 pages,Cress
Richard Bach,9.78E+12,144 pages,Illusions: The Adventures of a Reluctant Messiah
Jane Austen|Tony Tanner|Ros Ballaster,9.78E+12,409 pages,Sense and Sensibility
Brian Selznick,9.78E+12,525 pages,The Invention of Hugo Cabret
Agatha Christie,9.78E+12,214 pages,Death on the Nile
F. Scott Fitzgerald,9.78E+12,431 pages,Tender Is the Night
Edith Wharton,9.78E+12,99 pages,Ethan Frome
Richard Yates,9.78E+12,355 pages,Revolutionary Road
Sophocles|J.E. Thomas,9.78E+12,80 pages,Antigone
Juliet Marillier,9.78E+12,554 pages,Daughter of the Forest
Scott Westerfeld,9.78E+12,384 pages,Specials
Richelle Mead,9.78E+12,418 pages,The Golden Lily
Elizabeth George Speare,9.78E+12,256 pages,The Witch of Blackbird Pond
J.R.R. Tolkien|Peter Beagle,9.78E+12,322 pages,The Two Towers
John Irving,9.78E+12,520 pages,The Hotel New Hampshire
Terry Pratchett,9.78E+12,400 pages,Small Gods
James Frey,9.78E+12,432 pages,A Million Little Pieces
Jules Verne|Anthony Bonner,9.78E+12,394 pages,Twenty Thousand Leagues Under the Sea
Ray Bradbury,9.78E+12,239 pages,Dandelion Wine
