author,isbn,pages,title
Henry David Thoreau,9.78E+12,352 pages,Walden
Kate Chopin,9.78E+12,195 pages,The Awakening
H.G. Wells|Greg Bear|Carlo Pagetti,9.78E+12,118 pages,The Time Machine
Donna Tartt,9.78E+12,559 pages,The Secret History
William Styron,9.78E+12,562 pages,Sophie's Choice
Cassandra Clare,9.78E+12,534 pages,City of Lost Souls
Jostein Gaarder|مهرداد بازیاری|Paulette Møller,9.78E+12,403 pages,Sophie's World
Haruki Murakami|Jay Rubin,9.78E+12,296 pages,Norwegian Wood
Pat Conroy,9.78E+12,679 pages,The Prince of Tides
Jon Stone|Michael J. Smollin,9.78E+12,32 pages,The Monster at the End of this Book
Charlaine Harris,9.78E+12,292 pages,Dead Until Dark
Fannie Flagg,9.78E+12,416 pages,Fried Green Tomatoes at the Whistle Stop Cafe
E.L. James,9.78E+12,532 pages,Fifty Shades Darker
Haruki Murakami|Philip Gabriel,9.78E+12,480 pages,Kafka on the Shore
Helen Fielding,9.78E+12,288 pages,Bridget Jones's Diary
Patrick Rothfuss,9.78E+12,994 pages,The Wise Man's Fear
J.D. Salinger,9.78E+12,201 pages,Franny and Zooey
Bryce Courtenay,9.78E+12,544 pages,The Power of One
Chinua Achebe,9.78E+12,209 pages,Things Fall Apart
Rick Riordan,9.78E+12,521 pages,The Son of Neptune
George Eliot|Michel Faber,9.78E+12,904 pages,Middlemarch
Anne Frank|Eleanor Roosevelt|B.M. Mooyaart-Doubleday,9.78E+12,304 pages,The Diary of a Young Girl
C.S. Lewis,9.78E+12,221 pages,The Magician's Nephew
Gillian Flynn,9.78E+12,415 pages,Gone Girl
Neil Gaiman,9.78E+12,248 pages,Stardust
Bill Bryson,9.78E+12,544 pages,A Short History of Nearly Everything
Kazuo Ishiguro,9.78E+12,288 pages,Never Let Me Go
Virginia Woolf|Maureen Howard,9.78E+12,194 pages,Mrs. Dalloway
John Grisham,9.78E+12,515 pages,A Time to Kill
Ann Patchett,9.78E+12,352 pages,Bel Canto
Jonathan Swift|Robert DeMaria Jr.,9.78E+12,306 pages,Gulliver's Travels
Jane Austen,9.78E+12,1344 pages,The Complete Novels
Charles Frazier,9.78E+12,356 pages,Cold Mountain
E.L. James,9.78E+12,579 pages,Fifty Shades Freed
Garth Stein,9.78E+12,321 pages,The Art of Racing in the Rain
Gayle Forman,9.78E+12,201 pages,If I Stay
Robert Munsch|Sheila McGraw,9.78E+12,32 pages,Love You Forever
Lois Lowry,9.78E+12,137 pages,Number the Stars
Anna Sewell,9.78E+12,245 pages,Black Beauty
Arthur Conan Doyle|Anne Perry|Maria Buitoni Duca|Sidney Paget,9.78E+12,256 pages,The Hound of the Baskervilles
Tim Butcher,9.78E+12,363 pages,Blood River: A Journey to Africa's Broken Heart
Veronica Roth,9.78E+12,526 pages,Allegiant
Roald Dahl|Quentin Blake,9.78E+12,208 pages,The Witches
James Joyce|Seamus Deane,9.78E+12,329 pages,A Portrait of the Artist as a Young Man
Rainbow Rowell,9.78E+12,328 pages,Eleanor & Park
Alan Moore|David   Lloyd,9.78E+12,296 pages,V for Vendetta
Christopher Paolini,9.78E+12,704 pages,Eldest
Rick Riordan,9.78E+12,586 pages,The Mark of Athena
Stephen King,9.78E+12,231 pages,The Gunslinger
Edgar Allan Poe,9.78E+12,448 pages,The Tell-Tale Heart and Other Writings
Jack London,9.78E+12,252 pages,White Fang
Philip K. Dick|Roger Zelazny,9.78E+12,244 pages,Do Androids Dream of Electric Sheep?
Kami Garcia|Margaret Stohl,9.78E+12,563 pages,Beautiful Creatures
J.R. Ward,9.78E+12,393 pages,Dark Lover
John Knowles,9.78E+12,208 pages,A Separate Peace
Unknown|Seamus Heaney|Francis Barton Gummere,9.78E+12,213 pages,Beowulf
Neil Gaiman|Dave McKean|Nīls Geimens,9.78E+12,307 pages,The Graveyard Book
Beatrice Sparks|Anonymous,9.78E+12,213 pages,Go Ask Alice
William Faulkner,9.78E+12,288 pages,As I Lay Dying
Jane Austen,9.78E+12,560 pages,Mansfield Park
Michael Chabon,9.78E+12,639 pages,The Amazing Adventures of Kavalier & Clay
Nicholas Sparks,9.78E+12,276 pages,Dear John
Natalie Babbitt,9.78E+12,139 pages,Tuck Everlasting
Dave Pelzer,9.78E+12,184 pages,"A Child Called ""It"""
Christopher Paolini,9.78E+12,748 pages,Brisingr
Becca Fitzpatrick,9.78E+12,432 pages,Crescendo
Willa Cather,9.78E+12,232 pages,My Ántonia
Suzanne Collins,9.78E+12,392 pages,Mockingjay
Nicholas Sparks,9.78E+12,390 pages,The Last Song
Michael Ondaatje,9.78E+12,320 pages,The English Patient
Art Spiegelman,9.78E+12,296 pages,The Complete Maus
Jennifer L. Armentrout,9.78E+12,335 pages,Obsidian
Salman Rushdie,9.78E+12,647 pages,Midnight's Children
Robin A.H. Waterfield|John Grisham,9.78E+12,432 pages,The Firm
Jerry Spinelli,9.78E+12,186 pages,Stargirl
Ray Bradbury,9.78E+12,182 pages,The Martian Chronicles
Lao Tzu|Gia-Fu Feng|Jane English|Toinette Lippe|Jacob Needleman,9.78E+12,160 pages,Tao Te Ching
Robert Jordan,9.78E+12,814 pages,The Eye of the World
Robert M. Pirsig,9.78E+12,540 pages,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values
Daniel Defoe|Gerald McCann|Virginia Woolf,9.78E+12,320 pages,Robinson Crusoe
Boris Pasternak|Max Hayward|Manya Harari|John Bayley,9.78E+12,592 pages,Doctor Zhivago
Laura Esquivel|Thomas  Christensen|Carol Christensen,9.78E+12,221 pages,Like Water for Chocolate
Hermann Hesse|Basil Creighton,9.78E+12,256 pages,Steppenwolf
Truman Capote,9.78E+12,142 pages,Breakfast at Tiffany's
Jojo Moyes,9.78E+12,369 pages,Me Before You
Philip Pullman,9.78E+12,467 pages,The Amber Spyglass
Ernest Cline,9.78E+12,374 pages,Ready Player One
Stephen King,9.78E+12,483 pages,'Salem's Lot
Dante Alighieri|Anthony M. Esolen,9.78E+12,490 pages,Inferno
Alyson Noel,9.78E+12,301 pages,Evermore
Victor Hugo|Walter J. Cobb,9.78E+12,510 pages,The Hunchback of Notre-Dame
David Mitchell,9.78E+12,509 pages,Cloud Atlas
Tahereh Mafi,9.78E+12,338 pages,Shatter Me
Roald Dahl|Quentin Blake,9.78E+12,195 pages,The BFG
Rohinton Mistry,9.78E+12,603 pages,A Fine Balance
Diana Gabaldon,9.78E+12,743 pages,Dragonfly in Amber
Charles Darwin|Sevim Belli,9.78E+12,703 pages,The Origin of Species
Tennessee Williams,9.78E+12,107 pages,A Streetcar Named Desire
